Timestamp,Members of the Belcher family with whom I identify (select all that apply)
9/9/2019 15:58:49,"Bob, Gene, Louise"
9/9/2019 16:34:17,Bob
9/9/2019 16:36:44,"Bob, Linda, Tina, Gene, Louise"
9/9/2019 16:37:06,"Bob, Tina, Louise"
9/9/2019 16:37:11,Louise
9/9/2019 16:37:13,Tina
9/9/2019 16:37:17,Bob
9/9/2019 16:37:21,Bob
9/9/2019 16:37:46,"Tina, Louise"
9/9/2019 16:38:00,"Bob, Tina, Gene"
9/9/2019 16:39:35,"Bob, Tina"
9/9/2019 16:39:49,"Bob, Linda, Tina, Louise"
9/9/2019 16:39:54,Bob
9/9/2019 16:40:21,Bob
9/9/2019 16:40:54,"Bob, Tina"
9/9/2019 16:41:54,Louise
9/9/2019 16:44:53,Tina
9/9/2019 16:44:55,Louise
9/9/2019 16:45:26,"Bob, Linda, Tina"
9/9/2019 16:45:31,"Bob, Linda, Tina, Gene, Louise"
9/9/2019 16:46:31,"Bob, Tina"
9/9/2019 16:47:14,Tina
9/9/2019 16:47:15,"Tina, Louise"
9/9/2019 16:48:53,"Bob, Louise"
9/9/2019 16:48:59,Bob
9/9/2019 16:50:16,Tina
9/9/2019 16:50:39,Bob
9/9/2019 16:50:44,"Bob, Linda, Tina"
9/9/2019 16:51:17,"Bob, Tina"
9/9/2019 16:51:28,"Bob, Linda"
9/9/2019 16:52:24,Louise
9/9/2019 16:53:43,"Bob, Linda, Gene"
9/9/2019 16:54:05,"Bob, Linda, Tina, Louise"
9/9/2019 16:54:47,Bob
9/9/2019 16:55:43,Bob
9/9/2019 16:56:02,"Bob, Gene"
9/9/2019 16:56:45,"Bob, Tina"
9/9/2019 17:02:27,"Bob, Linda, Tina"
9/9/2019 17:02:42,Gene
9/9/2019 17:03:49,Bob
9/9/2019 17:04:11,"Linda, Tina, Gene"
9/9/2019 17:04:11,"Tina, Louise"
9/9/2019 17:08:38,Tina
9/9/2019 17:09:25,Louise
9/9/2019 17:09:19,"Bob, Tina, Gene, Louise"
9/9/2019 17:11:14,"Bob, Tina"
9/9/2019 17:17:42,"Tina, Gene"
9/9/2019 17:19:52,"Bob, Tina, Louise"
9/9/2019 17:22:01,"Bob, Louise"
9/9/2019 17:30:55,"Bob, Linda, Tina, Gene, Louise"
9/9/2019 17:31:00,"Bob, Tina, Gene"
9/9/2019 17:32:03,"Bob, Tina, Louise"
9/9/2019 17:32:06,Tina
9/9/2019 17:35:04,"Linda, Gene, Louise"
9/9/2019 17:43:50,"Linda, Tina"
9/9/2019 17:46:45,Linda
9/9/2019 17:49:16,Tina
9/9/2019 17:49:57,"Bob, Tina, Gene"
9/9/2019 17:58:58,"Bob, Tina"
9/9/2019 18:02:26,"Bob, Tina"
9/9/2019 18:15:12,Bob
9/9/2019 18:18:27,Louise
9/9/2019 18:25:03,Gene
9/9/2019 18:26:28,"Bob, Linda, Tina, Louise"
9/9/2019 18:44:12,"Bob, Linda, Louise"
9/9/2019 18:54:29,"Bob, Louise"
9/9/2019 19:00:52,"Bob, Linda, Tina, Louise"
9/9/2019 19:12:15,Tina
9/9/2019 19:30:51,"Bob, Louise"
9/9/2019 19:38:02,"Bob, Tina, Louise"
9/9/2019 19:38:50,Linda
9/9/2019 19:41:42,"Bob, Linda, Tina, Gene, Louise"
9/9/2019 19:52:41,Tina
9/9/2019 20:13:00,"Bob, Linda, Louise"
9/9/2019 20:35:41,"Bob, Tina"
9/9/2019 20:56:25,"Tina, Louise"
9/9/2019 20:57:13,Tina
9/9/2019 20:58:10,"Linda, Louise"
9/9/2019 20:58:34,"Linda, Tina, Louise"
9/9/2019 21:00:03,"Bob, Tina, Gene, Louise"
9/9/2019 21:00:51,"Bob, Tina"
9/9/2019 21:00:52,"Linda, Louise"
9/9/2019 21:02:01,Bob
9/9/2019 21:08:25,Bob
9/9/2019 21:09:26,"Bob, Gene"
9/9/2019 21:09:50,"Linda, Tina"
9/9/2019 21:12:14,Bob
9/9/2019 21:23:29,"Bob, Louise"
9/9/2019 21:33:31,Louise
9/9/2019 21:33:37,"Linda, Tina"
9/9/2019 21:43:04,Bob
9/9/2019 21:50:02,Louise
9/9/2019 21:52:07,"Bob, Linda, Tina, Gene, Louise"
9/9/2019 22:36:24,"Tina, Louise"
9/9/2019 22:50:05,Bob
9/9/2019 23:22:09,Tina
9/9/2019 23:31:03,Tina
9/9/2019 23:44:42,"Linda, Louise"
9/9/2019 23:57:47,"Linda, Louise"
9/10/2019 1:23:59,Louise
9/10/2019 1:29:30,"Bob, Tina, Louise"
9/10/2019 1:47:58,"Tina, Louise"
9/10/2019 1:55:44,"Tina, Louise"
9/10/2019 2:44:04,Linda
9/10/2019 3:09:48,"Bob, Linda, Tina, Gene, Louise"
9/10/2019 3:47:27,"Bob, Linda, Tina, Gene, Louise"
9/10/2019 3:49:03,"Bob, Linda, Tina, Gene"
9/10/2019 3:51:26,Tina
9/10/2019 4:53:29,Bob
9/10/2019 5:20:24,Bob
9/10/2019 5:33:57,"Bob, Linda, Louise"
9/10/2019 6:11:18,Bob
9/10/2019 6:23:28,Tina
9/10/2019 6:29:37,Bob
9/10/2019 7:45:25,"Tina, Gene, Louise"
9/10/2019 7:57:54,Bob
