Weekend,this_weekend,last_weekend,Title,Studio,Weekend Gross,pct_change,Theater Count,Change,Average,Total Gross,budget_mills,week_number
2019-09-06,2,1,Angel has Fallen,LGF,5990157,-0.49,"3,229",-107,1855,53450658.00,40,3
2019-09-06,6,6,Overcomer,Affirm,3712762,-0.35,"2,153",326,1724,24668925.00,5,3
2019-09-06,3,2,Good Boys,Uni.,5479460,-0.42,"3,193",-265,1716,66939160.00,20,4
2019-09-06,4,3,The Lion King (2019),BV,4324341,-0.38,"2,610",-580,1657,529237780.00,260,8
2019-09-06,5,4,Fast & Furious Presents: Hobbs & Shaw,Uni.,3807905,-0.41,"2,299",-673,1656,164340050.00,200,6
2019-09-06,79,-,In The Aisles,MBox,1641,-,1,-,1641,27522.00,-,13
2019-09-06,11,12,The Peanut Butter Falcon,RAtt.,2130388,-0.29,"1,310",61,1626,12136647.00,-,5
2019-09-06,47,58,Tigers are Not Afraid,Vari.,26542,0.08,17,8,1561,112124.00,-,3
2019-09-06,10,10,Once Upon a Time in Hollywood,Sony,2166110,-0.47,"1,402",-591,1545,134368392.00,90,7
2019-09-06,34,39,Fiddler: A Miracle of Miracles,RAtt.,97386,0.25,68,40,1432,296389.00,-,3
2019-09-06,80,83,The Chambermaid (2019),KL,1413,0.25,1,-1,1413,76639.00,-,11
2019-09-06,44,59,Before You Know It (2019),1091,41751,0.81,31,28,1347,75634.00,-,2
2019-09-06,25,24,Aladdin (2019),BV,260323,-0.42,198,-32,1315,354801322.00,183,16
2019-09-06,7,11,Dora and the Lost City of Gold,Par.,2345305,-0.43,"1,788",-689,1312,54334455.00,49,5
2019-09-06,22,19,Tod@s Caen,PNT,471947,-0.57,371,-,1272,2072988.00,-,2
2019-09-06,65,N,Edie,MBox,8801,-,7,-,1257,8801.00,-,1
2019-09-06,81,N,I'm Leaving Now,CGld,1255,-,1,-,1255,1255.00,-,1
2019-09-06,33,29,Mission Mangal,FIP,111158,-0.7,94,-57,1183,3570506.00,-,4
2019-09-06,37,41,Menteur,EOne,59024,-0.13,53,-5,1114,4492830.00,-,9
2019-09-06,9,7,Scary Stories to Tell in the Dark,LGF,2297928,-0.54,"2,101",-646,1094,62123662.00,25,5
2019-09-06,24,21,The Farewell,A24,401220,-0.52,368,-523,1090,16685360.00,-,9
2019-09-06,50,48,Tel Aviv on Fire,Cohen,23855,-0.51,22,-13,1084,444524.00,-,6
2019-09-06,48,52,The Fighting Preacher,Purd.,24859,-0.34,24,-8,1036,716343.00,-,7
2019-09-06,53,49,Aquarela,SPC,22861,-0.47,23,-12,994,180495.00,-,4
2019-09-06,8,5,Ready or Not,FoxS,2310792,-0.61,"2,350",-648,983,25712480.00,6,3
2019-09-06,31,32,The Secret Life of Pets 2,Uni.,128830,-0.53,139,-88,927,158111845.00,80,14
2019-09-06,72,82,Long Day's Journey Into Night (2019),KL,3709,1.68,4,3,927,494324.00,-,22
2019-09-06,12,9,The Angry Birds Movie 2,Sony,1710459,-0.6,"1,854","-1,457",923,38088353.00,65,4
2019-09-06,59,60,The Death and Life of John F. Donovan,EOne,14722,-0.25,16,-8,920,122954.00,-,3
2019-09-06,42,46,Honeyland,Neon,50001,-0.07,56,14,893,466911.00,-,7
2019-09-06,23,18,Blinded By the Light,WB,417383,-0.66,468,"-1,205",892,11317597.00,-,4
2019-09-06,17,15,Don't Let Go,OTL,802096,-0.66,922,-,870,4302776.00,5,2
2019-09-06,13,8,Spider-Man: Far from Home,Sony,1238052,-0.71,"1,433","-1,729",864,388120898.00,160,10
2019-09-06,29,30,Luce,Neon,157568,-0.48,183,-52,861,1667519.00,-,6
2019-09-06,20,14,Toy Story 4,BV,547483,-0.77,640,"-2,075",855,431810752.00,-,12
2019-09-06,36,37,The Kitchen (2019),WB (NL),61792,-0.32,75,-114,824,12026533.00,38,5
2019-09-06,27,23,"Where'd You Go, Bernadette",UAR,217719,-0.67,270,-637,806,8852084.00,-,4
2019-09-06,35,34,Maiden,SPC,84774,-0.42,108,-72,785,2960135.00,-,11
2019-09-06,18,13,47 Meters Down: Uncaged,ENTMP,743738,-0.69,975,"-1,249",763,20905478.00,12,4
2019-09-06,43,55,David Crosby: Remember My Name,SPC,49673,0.41,66,19,753,625113.00,-,8
2019-09-06,68,66,Cold Case Hammarskjöld,Magn.,7365,-0.36,10,-5,737,82676.00,-,4
2019-09-06,60,62,Echo in the Canyon,Greenwich,13989,-0.06,19,-5,736,3327377.00,-,16
2019-09-06,28,25,After the Wedding (2019),SPC,201623,-0.55,283,-145,712,1350243.00,-,5
2019-09-06,21,17,The Art of Racing in the Rain,Fox,506143,-0.62,740,-735,684,25256221.00,-,5
2019-09-06,73,74,Under the Sea 3D,WB,2693,-0.19,4,-1,673,36180589.00,-,552
2019-09-06,30,22,Midsommar,A24,146308,-0.78,234,-442,625,27242964.00,-,10
2019-09-06,82,67,The Divine Fury,WGUSA,1250,-0.81,2,-1,625,101758.00,-,4
2019-09-06,56,68,Vita and Virginia,IFC,18416,2.3,32,29,576,32843.00,-,3
2019-09-06,71,N,Rapid Response,ADC,4497,-,8,-,562,4497.00,-,1
2019-09-06,62,65,Mike Wallace is Here,Magn.,11007,-0.07,20,-4,550,271673.00,-,7
