Weekend,this_weekend,last_weekend,Title,Studio,Weekend Gross,pct_change,Theater Count,Change,Average,Total Gross,budget_mills,week_number
2019-08-23,23,27,Luce,Neon,252480,0.53,160,102,1578,863162.00,-,4
2019-08-23,17,14,Toy Story 4,BV,1230836,-0.43,820,-425,1501,426734092.00,-,10
2019-08-23,83,-,"The Gangster, the Cop, the Devil",WGUSA,1410,-,1,-,1410,216494.00,-,8
2019-08-23,47,46,The Fighting Preacher,Purd.,37881,0.02,27,8,1403,557057.00,-,5
2019-08-23,32,26,Menteur,EOne,80510,-0.53,58,-12,1388,4224553.00,-,7
2019-08-23,40,40,One Child Nation,Amazon,46789,-0.02,34,16,1376,151695.00,-,3
2019-08-23,11,7,47 Meters Down: Uncaged,ENTMP,3920632,-0.54,"2,883",30,1360,15336579.00,12,2
2019-08-23,50,N,The Death and Life of John F. Donovan,EOne,33340,-,25,-,1334,33340.00,-,1
2019-08-23,41,38,Honeyland,Neon,46621,-0.16,36,4,1295,290447.00,-,5
2019-08-23,62,59,Jay Myself,Osci.,10850,-0.06,9,7,1206,85530.00,-,4
2019-08-23,39,32,Midsommar,A24,49354,-0.46,44,-31,1122,26029313.00,-,8
2019-08-23,24,19,Aladdin (2019),BV,204546,-0.35,185,-40,1106,353863659.00,183,14
2019-08-23,25,21,The Secret Life of Pets 2,Uni.,201400,-0.24,185,-57,1089,157448865.00,80,12
2019-08-23,18,15,The Farewell,A24,882623,-0.41,816,-45,1082,14412536.00,-,7
2019-08-23,77,98,Rojo,Distrib.,2142,21.08,2,1,1071,76732.00,-,7
2019-08-23,58,53,Cold Case Hammarskjöld,Magn.,16007,-0.13,15,5,1067,45492.00,-,2
2019-08-23,13,9,The Art of Racing in the Rain,Fox,2106419,-0.54,"2,040",-725,1033,21486746.00,-,3
2019-08-23,29,25,Crawl,Par.,132290,-0.3,143,-31,925,38827963.00,13.5,7
2019-08-23,28,22,Maiden,SPC,140525,-0.46,153,-1,918,2514828.00,-,9
2019-08-23,21,18,Yesterday,Uni.,399550,-0.3,438,-64,912,72391710.00,26,9
2019-08-23,69,79,The Other Story,Strand,3596,2.23,4,3,899,122718.00,-,9
2019-08-23,44,42,David Crosby: Remember My Name,SPC,41833,-0.1,47,6,890,456392.00,-,6
2019-08-23,14,10,Blinded By the Light,WB,1982086,-0.54,"2,307",-,859,8103492.00,-,2
2019-08-23,86,-,Last Year at Marienbad (2019 re-release),Jan.,767,-,1,-,767,60084.00,-,15
2019-08-23,46,43,The Nightingale (2019),IFC,38022,-0.15,51,12,746,248645.00,-,4
2019-08-23,52,37,Toni Morrison: The Pieces I Am,Magn.,32422,-0.44,44,-25,737,807138.00,-,10
2019-08-23,59,50,Echo in the Canyon,Greenwich,14399,-0.47,20,-15,720,3277247.00,-,14
2019-08-23,84,-,Union (2019),Indic.,1356,-,2,-,678,17109.00,-,4
2019-08-23,63,55,Biggest Little Farm,Neon,10554,-0.38,16,-11,660,4361110.00,-,16
2019-08-23,20,N,My Neighbor Totoro - Studio Ghibli 2019,Fathom,484254,-,767,-,631,484254.00,-,1
2019-08-23,16,11,"Where'd You Go, Bernadette",UAR,1424237,-0.59,"2,306",-98,618,6609797.00,-,2
2019-08-23,33,29,Rocketman,Par.,71468,-0.3,118,-42,606,96227407.00,40,13
2019-08-23,43,54,Stuber,Fox,45170,1.61,75,25,602,22351126.00,-,7
2019-08-23,30,17,Brian Banks,BST,131579,-0.81,220,-760,598,4173394.00,-,3
2019-08-23,78,80,Be Natural: The Untold Story of Alice Guy-Blaché,Zeit.,1781,0.8,3,-,594,92395.00,-,19
2019-08-23,37,34,Men in Black International,Sony,55873,-0.28,100,-16,559,79642808.00,110,11
2019-08-23,22,13,The Kitchen (2019),WB (NL),342506,-0.85,620,"-2,125",552,11644797.00,38,3
2019-08-23,65,58,The Other Side of Heaven 2: Fire of Faith,AAE,8818,-0.24,16,-5,551,1668347.00,-,9
2019-08-23,55,47,Mike Wallace is Here,Magn.,20186,-0.35,37,-1,546,229827.00,-,5
2019-08-23,73,70,Under the Sea 3D,WB,2709,0.01,5,-,542,36168425.00,-,550
2019-08-23,81,74,The Mountain,KL,1618,0.11,3,-1,539,51129.00,-,5
2019-08-23,49,41,Godzilla: King of the Monsters,WB,34266,-0.28,64,-31,535,110481291.00,170,13
2019-08-23,34,28,John Wick: Chapter 3 - Parabellum,LG/S,68942,-0.49,129,-19,534,170795001.00,-,15
2019-08-23,35,39,Annabelle Comes Home,WB (NL),61507,0.12,116,14,530,72664584.00,-,9
2019-08-23,38,30,Avengers: Endgame,BV,50268,-0.5,115,-33,437,858238683.00,356,18
2019-08-23,56,49,Marianne & Leonard: Words of Love,RAtt.,18676,-0.31,43,-22,434,880922.00,-,8
2019-08-23,79,67,A Brother's Love,EOne,1703,-0.49,4,2,426,514619.00,-,12
2019-08-23,88,82,Free Trip to Egypt,INDEP,422,-0.45,1,-1,422,33448.00,-,13
2019-08-23,64,57,Wild Rose,Neon,10080,-0.26,24,7,420,1630301.00,-,10
2019-08-23,89,-,Suburban Birds,CGld,391,-,1,-,391,10587.00,-,20
2019-08-23,68,56,Late Night,Amazon,4669,-0.69,13,-19,359,15494928.00,-,12
2019-08-23,82,88,Piranhas,MBox,1435,5.06,4,2,359,18139.00,-,4
2019-08-23,90,93,In The Aisles,MBox,349,1.57,1,-,349,25881.00,-,11
2019-08-23,91,95,That Part Feeling,FM,340,1.56,1,-,340,8812.00,-,11
2019-08-23,85,-,Meeting Gorbachev,1091,991,-,3,-,330,251039.00,-,17
2019-08-23,93,73,Journey to the South Pacific,IMAX,279,-0.82,1,-,279,7651546.00,-,273
2019-08-23,70,62,Sword of Trust,IFC,3425,-0.53,14,-1,245,321425.00,-,7
2019-08-23,94,66,Olivia,Icar.,177,-0.96,1,-2,177,7315.00,-,2
2019-08-23,95,-,Zilla and Zoe,Indic.,169,-,1,-,169,38778.00,-,13
2019-08-23,87,63,Ode to Joy,IFC,759,-0.89,5,-11,152,16953.00,-,3
2019-08-23,92,72,Them That Follow,1091,336,-0.85,4,-18,84,158973.00,-,4
2019-08-23,96,99,Born to Be Wild (IMAX),WB,137,1.08,2,-,69,25898385.00,-,438
2019-08-23,97,89,The Queen (2019 re-release),KL,134,-0.43,2,1,67,42452.00,-,9
2019-08-23,98,97,A Beautiful Planet,IMAX,28,-0.73,2,-,14,15554080.00,-,174
2019-08-16,60,N,End of the Century (2019),CGld,10063,-,1,-,10063,10063.00,-,1
2019-08-16,1,N,Good Boys,Uni.,21402605,-,"3,204",-,6680,21402605.00,20,1
2019-08-16,20,22,The Peanut Butter Falcon,RAtt.,287712,0.41,49,32,5872,583902.00,-,2
2019-08-16,59,56,Jay Myself,Osci.,11512,0.06,2,1,5756,69541.00,-,3
2019-08-16,31,N,Line Walker 2 Invisible Spy,WGUSA,96991,-,17,-,5705,96991.00,-,1
2019-08-16,16,N,Mission Mangal,FIP,1365006,-,263,-,5190,1522399.00,-,1
2019-08-16,52,N,Aquarela,SPC,24753,-,5,-,4951,24753.00,-,1
2019-08-16,35,31,Exit,CJ,60724,-0.27,13,-6,4671,263873.00,-,3
2019-08-16,61,-,War and Peace (2019 re-release),Jan.,7908,-,2,-,3954,134686.00,-,23
2019-08-16,2,1,Fast & Furious Presents: Hobbs & Shaw,Uni.,14179135,-0.44,"3,757",-587,3774,133780735.00,200,3
2019-08-16,3,3,The Lion King (2019),BV,12332686,-0.39,"3,560",-660,3464,496540672.00,260,5
2019-08-16,33,38,After the Wedding (2019),SPC,84287,0.68,26,21,3242,156528.00,-,2
2019-08-16,5,2,Scary Stories to Tell in the Dark,LGF,10008009,-0.52,"3,135",-,3192,40174793.00,25,2
2019-08-16,8,5,Once Upon a Time in Hollywood,Sony,7681355,-0.34,"2,504","-1,003",3068,114429567.00,90,4
2019-08-16,7,N,47 Meters Down: Uncaged,ENTMP,8427265,-,"2,853",-,2954,8427265.00,12,1
2019-08-16,69,60,Unplanned,PFR,2896,-0.45,1,-,2896,18997270.00,6,21
2019-08-16,64,N,Buñuel in the Labyrinth of the Turtles,GK,5691,-,2,-,2846,9919.00,-,1
2019-08-16,27,25,Luce,Neon,164660,0.23,58,34,2839,531097.00,-,3
2019-08-16,65,N,Los Reyes,Ghop,5661,-,2,-,2831,5661.00,-,1
2019-08-16,4,N,The Angry Birds Movie 2,Sony,10354073,-,"3,869",-,2676,16091219.00,65,1
2019-08-16,40,54,One Child Nation,Amazon,47715,1.33,18,16,2651,77514.00,-,2
2019-08-16,71,-,Christ Stopped at Eboli (re-release),Rialto,2646,-,1,-,2646,71602.00,-,20
2019-08-16,23,N,Batla House,VPD,212645,-,81,-,2625,259167.00,-,1
2019-08-16,26,19,Menteur,EOne,171623,-0.21,70,-1,2452,3999729.00,-,6
2019-08-16,6,4,Dora and the Lost City of Gold,Par.,8567251,-0.51,"3,735",-,2294,33976975.00,49,2
2019-08-16,46,41,The Fighting Preacher,Purd.,37017,-0.21,19,-13,1948,482316.00,-,4
2019-08-16,36,32,Tel Aviv on Fire,Cohen,60001,-0.15,31,3,1936,233528.00,-,3
2019-08-16,44,N,The Divine Fury,WGUSA,43863,-,23,-,1907,43863.00,-,1
2019-08-16,10,N,Blinded By the Light,WB,4333305,-,"2,307",-,1878,4333305.00,-,1
2019-08-16,12,8,Spider-Man: Far from Home,Sony,2801816,-0.47,"1,515","-1,163",1849,376676361.00,160,7
2019-08-16,53,N,Cold Case Hammarskjöld,Magn.,18285,-,10,-,1829,18285.00,-,1
2019-08-16,38,47,Honeyland,Neon,55439,0.61,32,20,1732,210163.00,-,4
2019-08-16,14,9,Toy Story 4,BV,2151203,-0.53,"1,245","-1,050",1728,424413510.00,-,9
2019-08-16,15,12,The Farewell,A24,1485124,-0.29,861,157,1725,12817019.00,-,6
2019-08-16,22,18,Maiden,SPC,258285,-,154,-19,1677,2248830.00,-,8
2019-08-16,67,69,A Brother's Love,EOne,3330,0.28,2,-1,1665,510410.00,-,11
2019-08-16,9,6,The Art of Racing in the Rain,Fox,4571948,-0.44,"2,765",-,1654,17050136.00,-,2
2019-08-16,73,73,Journey to the South Pacific,IMAX,1576,-0.11,1,-,1576,7650451.00,-,271
2019-08-16,68,74,The Chambermaid (2019),KL,2917,0.77,2,-1,1459,72652.00,-,8
2019-08-16,11,N,"Where'd You Go, Bernadette",UAR,3462308,-,"2,404",-,1440,3462308.00,-,1
2019-08-16,19,14,Aladdin (2019),BV,315889,-0.61,225,-390,1404,353530157.00,183,13
2019-08-16,45,37,The Last Black Man in San Francisco,A24,39047,-0.29,29,-23,1346,4487574.00,-,11
2019-08-16,66,N,Olivia,Icar.,3948,-,3,-,1316,3948.00,-,1
2019-08-16,75,-,Long Day's Journey Into Night (2019),KL,1282,-,1,-,1282,488315.00,-,19
2019-08-16,32,23,Midsommar,A24,91287,-0.45,75,-75,1217,25922759.00,-,7
2019-08-16,43,36,The Nightingale (2019),IFC,44759,-0.23,39,12,1148,183607.00,-,3
2019-08-16,18,13,Yesterday,Uni.,569615,-0.5,502,-364,1135,71663010.00,26,8
2019-08-16,42,30,David Crosby: Remember My Name,SPC,46432,-0.44,41,-6,1132,386885.00,-,5
2019-08-16,79,59,The Other Story,Strand,1112,-0.81,1,-7,1112,118683.00,-,8
2019-08-16,21,16,The Secret Life of Pets 2,Uni.,264995,-0.35,242,-160,1095,157091985.00,80,11
2019-08-16,25,15,Crawl,Par.,188005,-0.75,174,-583,1080,38627299.00,13.5,6
2019-08-16,51,42,Pavarotti,CBS,25056,-0.44,25,-23,1002,4600249.00,-,11
2019-08-16,28,26,John Wick: Chapter 3 - Parabellum,LG/S,133913,0.03,148,-26,905,170669871.00,-,14
2019-08-16,48,28,The Bravest,Sony,29779,-0.73,33,-117,902,243630.00,-,2
2019-08-16,37,39,Toni Morrison: The Pieces I Am,Magn.,58149,0.19,69,27,843,729630.00,-,9
2019-08-16,47,44,Mike Wallace is Here,Magn.,30876,-0.2,38,6,813,188582.00,-,4
2019-08-16,13,7,The Kitchen (2019),WB (NL),2208290,-0.6,"2,745",-,804,10375575.00,38,2
2019-08-16,57,46,Wild Rose,Neon,13675,-0.62,17,-21,804,1615405.00,-,9
2019-08-16,50,33,Echo in the Canyon,Greenwich,27040,-0.6,35,-25,773,3248039.00,-,13
2019-08-16,83,-,Iyengar,KL,750,-,1,-,750,166280.00,-,19
2019-08-16,17,11,Brian Banks,BST,708502,-0.67,980,-260,723,3749367.00,-,2
2019-08-16,30,21,Avengers: Endgame,BV,100749,-0.52,148,-89,681,858142395.00,356,17
2019-08-16,34,27,Men in Black International,Sony,77705,-0.33,116,-43,670,79538167.00,110,10
2019-08-16,29,24,Rocketman,Par.,101715,-0.32,160,-21,636,96089685.00,40,12
2019-08-16,55,48,Biggest Little Farm,Neon,16929,-0.44,27,-17,627,4338194.00,-,15
2019-08-16,85,67,Lost & Found,HyperFilm,619,-0.79,1,-1,619,125137.00,-,21
2019-08-16,77,-,Hyenas (2019 re-release),Metrograph,1223,-,2,-,612,18918.00,-,16
2019-08-16,78,72,All Is True,SPC,1157,-0.42,2,-3,579,1199066.00,-,15
2019-08-16,24,10,Bring the Soul: The Movie,Trafalgar,200008,-0.92,354,-519,565,4809800.00,-,2
2019-08-16,58,52,The Other Side of Heaven 2: Fire of Faith,AAE,11639,-0.46,21,-4,554,1646705.00,-,8
2019-08-16,39,17,Annabelle Comes Home,WB (NL),54707,-0.8,102,-244,536,72581844.00,-,8
2019-08-16,70,64,Under the Sea 3D,WB,2681,-0.17,5,1,536,36162401.00,-,549
2019-08-16,41,34,Godzilla: King of the Monsters,WB,47261,-0.31,95,-26,497,110429154.00,170,12
2019-08-16,62,50,Sword of Trust,IFC,7355,-0.74,15,-50,490,312234.00,-,6
2019-08-16,56,51,Late Night,Amazon,14974,-0.43,32,-9,468,15482660.00,-,11
2019-08-16,87,-,Walking on Water,KL,446,-,1,-,446,98358.00,-,14
2019-08-16,49,45,Marianne & Leonard: Words of Love,RAtt.,27062,-0.26,65,2,416,844953.00,-,7
2019-08-16,63,61,Ode to Joy,IFC,6644,0.86,16,14,415,13034.00,-,2
2019-08-16,81,80,The Ground Beneath My Feet,Strand,773,-0.33,2,1,387,16190.00,-,4
2019-08-16,82,76,Free Trip to Egypt,INDEP,771,-0.48,2,-1,386,32335.00,-,12
2019-08-16,74,68,The Mountain,KL,1462,-0.48,4,-2,366,48871.00,-,4
2019-08-16,54,35,Stuber,Fox,17321,-0.72,50,-60,346,22297219.00,-,6
2019-08-16,80,71,Be Natural: The Untold Story of Alice Guy-Blaché,Zeit.,987,-0.55,3,-4,329,90576.00,-,18
2019-08-16,86,90,Grateful Dead Meet-Up 2019,Trafalgar,550,8.48,2,1,275,520663.00,-,3
2019-08-16,89,-,The Queen (2019 re-release),KL,236,-,1,-,236,36220.00,-,8
2019-08-16,76,75,Bethany Hamilton: Unstoppable,ENTMP,1279,-0.22,6,-,213,583814.00,-,6
2019-08-16,91,-,A Faithful Man,KL,182,-,1,-,182,46512.00,-,5
2019-08-16,93,82,In The Aisles,MBox,136,-0.75,1,-,136,25490.00,-,10
2019-08-16,94,-,Shadow,WGUSA,134,-,1,-,134,521396.00,-,16
2019-08-16,95,86,That Part Feeling,FM,133,-0.63,1,-,133,7664.00,-,9
2019-08-16,96,-,The Competition (2019),Metrograph,121,-,1,-,121,15425.00,-,19
2019-08-16,88,58,Piranhas,MBox,237,-0.97,2,-8,119,16704.00,-,3
2019-08-16,90,85,"Cassandro, the Exotico!",FM,223,-0.46,2,-,112,11790.00,-,5
2019-08-16,72,29,Them That Follow,1091,2171,-0.98,22,-173,99,157199.00,-,3
2019-08-16,98,-,Rojo,Distrib.,97,-,1,-,97,73247.00,-,6
2019-08-16,84,40,ECCO,Citadel,623,-0.99,7,-148,89,85563.00,-,2
2019-08-16,92,-,Diamantino,KL,156,-,2,-,78,67813.00,-,13
2019-08-16,97,91,A Beautiful Planet,IMAX,105,3.77,2,-,53,15553931.00,-,173
2019-08-16,99,-,Born to Be Wild (IMAX),WB,66,-,2,-,33,25898248.00,-,437
2019-08-09,22,N,The Peanut Butter Falcon,RAtt.,204793,-,17,-,12047,204793.00,-,1
2019-08-09,56,47,Jay Myself,Osci.,10828,-0.43,1,-,10828,48813.00,-,2
2019-08-09,54,N,One Child Nation,Amazon,20523,-,2,-,10262,20523.00,-,1
2019-08-09,38,N,After the Wedding (2019),SPC,50264,-,5,-,10053,50264.00,-,1
2019-08-09,2,N,Scary Stories to Tell in the Dark,LGF,20915346,-,"3,135",-,6672,20915346.00,25,1
2019-08-09,1,1,Fast & Furious Presents: Hobbs & Shaw,Uni.,25265795,-0.58,"4,344",91,5816,108379575.00,200,2
2019-08-09,25,20,Luce,Neon,134168,0.01,24,19,5590,307576.00,-,2
2019-08-09,60,55,Unplanned,PFR,5247,-0.44,1,-7,5247,18994212.00,6,20
2019-08-09,3,2,The Lion King (2019),BV,20205322,-0.48,"4,220",-582,4788,473309148.00,260,4
2019-08-09,4,N,Dora and the Lost City of Gold,Par.,17431588,-,"3,735",-,4667,17431588.00,49,1
2019-08-09,31,43,Exit,CJ,82903,1.56,19,17,4363,134254.00,-,2
2019-08-09,5,3,Once Upon a Time in Hollywood,Sony,11652652,-0.42,"3,507",-152,3323,100384022.00,90,3
2019-08-09,66,52,The White Storm II,CMC,3168,-0.73,1,-4,3168,606377.00,-,5
2019-08-09,19,18,Menteur,EOne,215789,0,71,-5,3039,3691747.00,-,5
2019-08-09,12,7,The Farewell,A24,2097213,-0.13,704,295,2979,10201644.00,-,5
2019-08-09,6,N,The Art of Racing in the Rain,Fox,8137584,-,"2,765",-,2943,8137584.00,-,1
2019-08-09,47,40,Honeyland,Neon,34539,-0.04,12,7,2878,131731.00,-,3
2019-08-09,10,N,Bring the Soul: The Movie,Trafalgar,2383604,-,873,-,2730,4505147.00,-,1
2019-08-09,32,37,Tel Aviv on Fire,Cohen,70237,0.48,28,17,2508,138804.00,-,2
2019-08-09,70,N,La flor,Ghop,2308,-,1,-,2308,2308.00,-,1
2019-08-09,53,N,Wicked Witches,Noct.,21600,-,10,-,2160,21600.00,-,1
2019-08-09,36,41,The Nightingale (2019),IFC,58066,0.62,27,25,2151,106025.00,-,2
2019-08-09,7,N,The Kitchen (2019),WB (NL),5527410,-,"2,745",-,2014,5527410.00,38,1
2019-08-09,9,5,Toy Story 4,BV,4525439,-0.38,"2,295",-930,1972,419703807.00,-,8
2019-08-09,8,4,Spider-Man: Far from Home,Sony,5277572,-0.33,"2,678",-768,1971,370950062.00,160,6
2019-08-09,61,N,Ode to Joy,IFC,3568,-,2,-,1784,3568.00,-,1
2019-08-09,73,-,Journey to the South Pacific,IMAX,1772,-,1,-,1772,7647100.00,-,269
2019-08-09,30,28,David Crosby: Remember My Name,SPC,82914,0.15,47,18,1764,295453.00,-,4
2019-08-09,11,N,Brian Banks,BST,2156272,-,"1,240",-,1739,2156272.00,-,1
2019-08-09,65,N,Dying to Survive,CL,3238,-,2,-,1619,3238.00,-,1
2019-08-09,55,59,"Love, Antosha",Lurk,11200,0.57,7,6,1600,19880.00,-,2
2019-08-09,67,64,Lost & Found,HyperFilm,2996,-0.3,2,-1,1498,123456.00,-,20
2019-08-09,18,17,Maiden,SPC,258285,0.16,173,42,1493,1921197.00,-,7
2019-08-09,41,34,The Fighting Preacher,Purd.,46564,-0.16,32,-5,1455,387526.00,-,3
2019-08-09,13,6,Yesterday,Uni.,1129040,-0.54,866,-971,1304,70483770.00,26,7
2019-08-09,14,9,Aladdin (2019),BV,801338,-0.62,615,-755,1303,352756605.00,183,12
2019-08-09,44,36,Mike Wallace is Here,Magn.,38550,-0.22,32,11,1205,139182.00,-,3
2019-08-09,79,81,The River and the Wall,Grav.,1165,0.5,1,-,1165,175773.00,-,15
2019-08-09,39,53,Toni Morrison: The Pieces I Am,Magn.,48904,3.51,42,19,1164,638453.00,-,8
2019-08-09,80,62,The Ground Beneath My Feet,Strand,1150,-0.76,1,-3,1150,14940.00,-,3
2019-08-09,33,25,Echo in the Canyon,Greenwich,68338,-0.2,60,-44,1139,3194494.00,-,12
2019-08-09,23,13,Midsommar,A24,165374,-0.6,150,-231,1102,25690588.00,-,6
2019-08-09,62,-,The Silence of Others,Argo.,3279,-,3,-,1093,66332.00,-,14
2019-08-09,37,23,The Last Black Man in San Francisco,A24,54880,-0.39,52,-22,1055,4404330.00,-,10
2019-08-09,81,85,Babylon (2019 re-release),KL,1033,0.97,1,-,1033,109749.00,-,23
2019-08-09,16,11,The Secret Life of Pets 2,Uni.,408095,-0.45,402,-377,1015,156576550.00,80,10
2019-08-09,15,8,Crawl,Par.,743685,-0.66,757,"-1,963",982,38113759.00,13.5,5
2019-08-09,46,33,Wild Rose,Neon,36344,-0.36,38,-49,956,1586359.00,-,8
2019-08-09,42,24,Pavarotti,CBS,44612,-0.48,48,-46,929,4533552.00,-,10
2019-08-09,21,14,Avengers: Endgame,BV,209992,-0.45,237,-183,886,857929760.00,356,16
2019-08-09,69,61,A Brother's Love,EOne,2601,-0.49,3,-1,867,503443.00,-,10
2019-08-09,52,42,The Other Side of Heaven 2: Fire of Faith,AAE,21623,-0.38,25,-5,865,1612549.00,-,7
2019-08-09,24,15,Rocketman,Par.,148723,-0.49,181,-337,822,95899640.00,40,11
2019-08-09,63,60,Hampstead,IFC,3254,-0.45,4,-3,814,142333.00,-,9
2019-08-09,64,-,Under the Sea 3D,WB,3242,-,4,-,811,36152803.00,-,548
2019-08-09,17,10,Annabelle Comes Home,WB (NL),273556,-0.69,346,-573,791,72400843.00,-,7
2019-08-09,26,16,John Wick: Chapter 3 - Parabellum,LG/S,129798,-0.47,174,-165,746,170467365.00,-,13
2019-08-09,28,N,The Bravest,Sony,110375,-,150,-,736,110375.00,-,1
2019-08-09,27,19,Men in Black International,Sony,116272,-0.29,159,-92,731,79405451.00,110,9
2019-08-09,59,50,The Other Story,Strand,5819,-0.51,8,-3,727,114649.00,-,7
2019-08-09,77,-,Last Year at Marienbad (2019 re-release),Jan.,1395,-,2,-,698,58497.00,-,13
2019-08-09,48,35,Biggest Little Farm,Neon,30056,-0.44,44,-9,683,4299364.00,-,14
2019-08-09,58,67,Piranhas,MBox,6728,1.32,10,9,673,11615.00,-,2
2019-08-09,51,38,Late Night,Amazon,26353,-0.43,41,-45,643,15451856.00,-,10
2019-08-09,78,71,The Cure - Anniversary 1978-2018 Live in Hyde Park,Trafalgar,1203,-0.14,2,1,602,378405.00,-,5
2019-08-09,45,27,Marianne & Leonard: Words of Love,RAtt.,36780,-0.5,63,-38,584,786846.00,-,6
2019-08-09,35,12,Stuber,Fox,62574,-0.89,110,-970,569,22254497.00,-,5
2019-08-09,34,21,Godzilla: King of the Monsters,WB,68081,-0.45,121,-71,563,110346372.00,170,11
2019-08-09,74,-,The Chambermaid (2019),KL,1652,-,3,-,551,68194.00,-,7
2019-08-09,82,78,In The Aisles,MBox,540,-0.43,1,-1,540,25354.00,-,9
2019-08-09,76,66,Free Trip to Egypt,INDEP,1485,-0.54,3,-1,495,29957.00,-,11
2019-08-09,68,51,The Mountain,KL,2831,-0.76,6,-9,472,44681.00,-,3
2019-08-09,29,48,Them That Follow,1091,85669,5.52,195,192,439,101889.00,-,2
2019-08-09,50,30,Sword of Trust,IFC,27808,-0.55,65,-13,428,292390.00,-,5
2019-08-09,84,74,Three Peaks,Greenwich,416,-0.64,1,-3,416,16216.00,-,7
2019-08-09,72,72,All Is True,SPC,1988,0.47,5,2,398,1196697.00,-,14
2019-08-09,49,22,Dark Phoenix,Fox,29797,-0.7,80,-45,372,65825625.00,-,10
2019-08-09,86,84,That Part Feeling,FM,361,-0.39,1,-,361,7531.00,-,7
2019-08-09,43,29,Pokemon Detective Pikachu,WB,40279,-0.4,113,-21,356,144080862.00,150,14
2019-08-09,20,N,TCM: Hello Dolly! 50th Anniversary,Fathom,214568,-,669,-,321,214568.00,-,1
2019-08-09,71,80,Be Natural: The Untold Story of Alice Guy-Blaché,Zeit.,2198,1.81,7,4,314,88967.00,-,17
2019-08-09,40,N,ECCO,Citadel,48205,-,155,-,311,48205.00,-,1
2019-08-09,57,39,Shaft (2019),WB (NL),9611,-0.77,35,-73,275,21355793.00,-,9
2019-08-09,75,57,Bethany Hamilton: Unstoppable,ENTMP,1641,-0.81,6,-18,274,581527.00,-,5
2019-08-09,83,82,Loopers: The Caddie's Long Walk,Grav.,515,-0.33,2,1,258,90512.00,-,10
2019-08-09,85,79,"Cassandro, the Exotico!",FM,412,-0.51,2,-1,206,11113.00,-,4
2019-08-09,87,86,The Fall of the American Empire,EOne,188,-0.64,1,-2,188,2178148.00,-,35
2019-08-09,88,-,The Wandering Soap Opera,CGld,92,-,1,-,92,3597.00,-,12
2019-08-09,89,-,Galapagos (IMAX),IMAX,65,-,1,-,65,18627817.00,-,924
2019-08-09,90,65,Grateful Dead Meet-Up 2019,Trafalgar,58,-0.99,1,-3,58,511376.00,-,2
2019-08-09,91,-,A Beautiful Planet,IMAX,22,-,2,-,11,15552381.00,-,172
